Particle,vx,vy,vz
0,136.773,0.520283,1042.12
1,4.91878,-150.782,-119.92
0,136.609,-2.72918,1049.32
1,1.15988,-150.711,-120.782
0,136.363,-5.97464,1056.58
1,-2.59736,-150.546,-121.649
0,136.036,-9.21404,1063.88
1,-6.35057,-150.288,-122.523
0,135.628,-12.4453,1071.24
1,-10.0974,-149.935,-123.402
0,135.139,-15.6665,1078.65
1,-13.8355,-149.489,-124.288
0,134.569,-18.8756,1086.1
1,-17.5626,-148.949,-125.179
0,133.919,-22.0705,1093.62
1,-21.2762,-148.316,-126.076
0,133.188,-25.2492,1101.18
1,-24.9741,-147.59,-126.98
0,132.378,-28.4098,1108.8
1,-28.654,-146.771,-127.889
0,131.489,-31.5502,1116.47
1,-32.3134,-145.861,-128.805
0,130.521,-34.6685,1124.19
1,-35.9503,-144.859,-129.727
0,129.475,-37.7626,1131.97
1,-39.5621,-143.766,-130.655
0,128.352,-40.8307,1139.8
1,-43.1467,-142.583,-131.589
0,127.152,-43.8708,1147.69
1,-46.7019,-141.31,-132.53
0,125.875,-46.881,1155.63
1,-50.2253,-139.949,-133.477
0,124.523,-49.8593,1163.63
1,-53.7147,-138.499,-134.43
0,123.097,-52.8039,1171.68
1,-57.168,-136.962,-135.39
0,121.596,-55.713,1179.79
1,-60.583,-135.339,-136.357
0,120.023,-58.5846,1187.96
1,-63.9575,-133.63,-137.33
0,118.378,-61.4171,1196.19
1,-67.2893,-131.837,-138.309
0,116.662,-64.2084,1204.47
1,-70.5764,-129.96,-139.296
0,114.876,-66.957,1212.81
1,-73.8167,-128.002,-140.289
0,113.021,-69.661,1221.2
1,-77.0081,-125.962,-141.288
0,111.098,-72.3187,1229.66
1,-80.1486,-123.843,-142.295
0,109.109,-74.9284,1238.18
1,-83.2362,-121.645,-143.308
0,107.055,-77.4885,1246.75
1,-86.269,-119.37,-144.328
0,104.936,-79.9974,1255.39
1,-89.245,-117.019,-145.356
0,102.754,-82.4533,1264.08
1,-92.1623,-114.594,-146.39
0,100.511,-84.8549,1272.84
1,-95.0191,-112.096,-147.431
0,98.2078,-87.2004,1281.66
1,-97.8135,-109.527,-148.479
0,95.8458,-89.4884,1290.54
1,-100.544,-106.887,-149.535
0,93.4264,-91.7175,1299.48
1,-103.208,-104.18,-150.597
0,90.9512,-93.8863,1308.48
1,-105.805,-101.406,-151.667
0,88.4216,-95.9932,1317.55
1,-108.333,-98.5668,-152.745
0,85.8393,-98.037,1326.68
1,-110.789,-95.6646,-153.829
0,83.2057,-100.016,1335.87
1,-113.173,-92.7011,-154.921
0,80.5225,-101.93,1345.13
1,-115.484,-89.678,-156.02
0,77.7914,-103.777,1354.46
1,-117.718,-86.5973,-157.127
0,75.014,-105.555,1363.84
1,-119.876,-83.4606,-158.242
0,72.192,-107.264,1373.3
1,-121.956,-80.2701,-159.364
0,69.3272,-108.903,1382.82
1,-123.956,-77.0277,-160.493
0,66.4214,-110.47,1392.4
1,-125.875,-73.7353,-161.631
0,63.4762,-111.965,1402.06
1,-127.711,-70.395,-162.776
0,60.4936,-113.386,1411.78
1,-129.465,-67.0088,-163.929
0,57.4753,-114.733,1421.57
1,-131.134,-63.5789,-165.09
0,54.4233,-116.004,1431.42
1,-132.717,-60.1073,-166.259
0,51.3394,-117.199,1441.35
1,-134.213,-56.5962,-167.436
0,48.2255,-118.317,1451.35
1,-135.622,-53.0477,-168.621
0,45.0836,-119.358,1461.41
1,-136.942,-49.4641,-169.814
0,41.9156,-120.32,1471.55
