Particle,x,y,z
1,494.46,-536.515,-1599.36
0,519.937,-203.963,13393.1
1,500.799,-550.446,-1610.05
0,532.892,-199.127,13487.1
1,506.791,-564.517,-1620.82
0,545.951,-194.597,13581.7
1,512.432,-578.719,-1631.66
0,559.105,-190.376,13677
1,517.72,-593.042,-1642.58
0,572.348,-186.467,13773
1,522.65,-607.478,-1653.59
0,585.671,-182.873,13869.6
1,527.221,-622.019,-1664.67
0,599.066,-179.594,13966.9
1,531.43,-636.654,-1675.83
0,612.526,-176.633,14064.8
1,535.273,-651.375,-1687.07
0,626.042,-173.991,14163.4
1,538.75,-666.172,-1698.39
0,639.606,-171.67,14262.7
1,541.858,-681.038,-1709.8
0,653.211,-169.671,14362.7
1,544.596,-695.962,-1721.28
0,666.849,-167.996,14463.4
1,546.962,-710.934,-1732.85
0,680.51,-166.644,14564.8
1,548.954,-725.947,-1744.51
0,694.188,-165.617,14666.9
1,550.572,-740.99,-1756.24
0,707.874,-164.914,14769.7
1,551.815,-756.054,-1768.07
0,721.559,-164.537,14873.2
1,552.683,-771.13,-1779.97
0,735.237,-164.485,14977.4
1,553.175,-786.208,-1791.96
0,748.898,-164.758,15082.3
1,553.291,-801.279,-1804.04
0,762.534,-165.356,15188
1,553.031,-816.334,-1816.21
0,776.138,-166.277,15294.4
1,552.396,-831.363,-1828.46
0,789.7,-167.522,15401.5
1,551.386,-846.356,-1840.8
0,803.214,-169.088,15509.3
1,550.003,-861.305,-1853.23
0,816.671,-170.976,15618
1,548.247,-876.2,-1865.75
0,830.063,-173.183,15727.3
1,546.119,-891.031,-1878.35
0,843.382,-175.708,15837.4
1,543.622,-905.79,-1891.05
0,856.62,-178.549,15948.3
1,540.756,-920.468,-1903.84
0,869.769,-181.704,16060
1,537.525,-935.054,-1916.72
0,882.821,-185.171,16172.4
1,533.93,-949.54,-1929.69
0,895.768,-188.947,16285.6
1,529.974,-963.916,-1942.76
0,908.604,-193.03,16399.6
1,525.659,-978.175,-1955.92
0,921.319,-197.417,16514.3
1,520.989,-992.306,-1969.17
0,933.906,-202.105,16629.9
1,515.966,-1006.3,-1982.52
0,946.359,-207.091,16746.2
1,510.595,-1020.15,-1995.96
0,958.668,-212.371,16863.4
1,504.878,-1033.85,-2009.5
0,970.828,-217.943,16981.4
1,498.82,-1047.38,-2023.14
0,982.83,-223.801,17100.2
1,492.424,-1060.74,-2036.87
0,994.668,-229.943,17219.8
1,485.695,-1073.93,-2050.7
0,1006.33,-236.364,17340.3
1,478.637,-1086.92,-2064.63
0,1017.82,-243.059,17461.5
1,471.256,-1099.72,-2078.66
0,1029.12,-250.026,17583.7
1,463.555,-1112.32,-2092.79
0,1040.23,-257.257,17706.6
1,455.54,-1124.7,-2107.02
0,1051.14,-264.75,17830.4
1,447.216,-1136.87,-2121.35
0,1061.85,-272.499,17955.1
1,438.59,-1148.81,-2135.78
0,1072.34,-280.499,18080.7
1,429.665,-1160.51,-2150.32
0,1082.62,-288.744,18207.1
1,420.449,-1171.97,-2164.96
0,1092.67,-297.23,18334.3
1,410.947,-1183.18,-2179.7
0,1102.49,-305.95,18462.5
1,401.166,-1194.13,-2194.55
0,1112.08,-314.899,18591.6
1,391.111,-1204.82,-2209.5
0,1121.42,-324.07,18721.5
1,380.79,-1215.24,-2224.56
0,1130.51,-333.459,18852.4
1,370.21,-1225.38,-2239.73
0,1139.36,-343.058,18984.1
1,359.377,-1235.23,-2255
0,1147.94,-352.862,19116.8
1,348.298,-1244.8,-2270.38
0,1156.26,-362.864,19250.4
1,336.98,-1254.07,-2285.88
0,1164.31,-373.057,19384.9
1,325.432,-1263.04,-2301.48
0,1172.09,-383.434,19520.3
1,313.66,-1271.7,-2317.19
0,1179.59,-393.99,19656.7
1,301.672,-1280.04,-2333.01
0,1186.81,-404.716,19794
1,289.477,-1288.07,-2348.95
0,1193.74,-415.606,19932.3
1,277.081,-1295.77,-2365
0,1200.39,-426.653,20071.6
1,264.494,-1303.15,-2381.16
0,1206.73,-437.85,20211.8
1,251.723,-1310.19,-2397.44
0,1212.78,-449.188,20353
1,238.776,-1316.89,-2413.83
0,1218.53,-460.662,20495.1
1,225.663,-1323.24,-2430.34
0,1223.97,-472.262,20638.3
1,212.391,-1329.26,-2446.97
0,1229.11,-483.982,20782.4
1,198.97,-1334.92,-2463.71
0,1233.93,-495.814,20927.5
